Urchin,State,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14
1,Gradual,167,120,92,103,74,480,122,438,259,182,183,328,362,452
2,Gradual,115,150,102,210,158,158,136,139,244,129,190,180,345,251
3,Steady,136,82,114,393,334,688,279,307,120,69,92,84,74,83
4,Steady,114,163,495,612,273,228,286,246,286,124,236,206,123,312
6,Gradual,144,141,145,177,287,134,177,281,101,230,333,261,179,233
7,Steady,109,63,126,164,121,165,191,365,365,62,97,79,83,109
8,Steady,62,108,68,103,81,80,146,124,124,126,190,215,192,159
